hazard = x=99.000000,y=-73.000000,label=307, type=hazard
hazard = x=73.326178,y=-53.821686,label=308, type=hazard
hazard = x=62.219225,y=-83.881434,label=309, type=hazard
hazard = x=94.194934,y=-86.004383,label=310, type=hazard
hazard = x=87.159440,y=-54.740111,label=311, type=hazard
hazard = x=59.175545,y=-70.355953,label=312, type=hazard
hazard = x=82.088603,y=-92.760074,label=313, type=hazard
hazard = x=167.000000,y=-75.000000,label=314, type=hazard
hazard = x=141.326178,y=-55.821686,label=315, type=hazard
hazard = x=130.219225,y=-85.881434,label=316, type=hazard
hazard = x=162.194934,y=-88.004383,label=317, type=hazard
hazard = x=155.159440,y=-56.740111,label=318, type=hazard
hazard = x=127.175545,y=-72.355953,label=319, type=hazard
hazard = x=150.088603,y=-94.760074,label=320, type=hazard
hazard = x=165.072037,y=-66.432533,label=321, type=hazard
