hazard = x=109.000000,y=-73.000000,label= 210, type=hazard
hazard = x=70.489267,y=-44.232528,label= 211, type=hazard
hazard = x=53.828838,y=-89.322151,label= 212, type=hazard
hazard = x=101.792402,y=-92.506574,label= 213, type=hazard
hazard = x=91.239159,y=-45.610167,label= 214, type=hazard
hazard = x=49.263318,y=-69.033929,label= 215, type=hazard
hazard = x=83.632904,y=-102.640111,label= 216, type=hazard
hazard = x=106.108055,y=-60.148800,label= 217, type=hazard
hazard = x=58.986468,y=-50.651431,label= 218, type=hazard
hazard = x=63.247266,y=-98.531380,label= 219, type=hazard
hazard = x=177.000000,y=-75.000000,label= 220, type=hazard
hazard = x=138.489267,y=-46.232528,label= 221, type=hazard
hazard = x=121.828838,y=-91.322151,label= 222, type=hazard
hazard = x=169.792402,y=-94.506574,label= 223, type=hazard
hazard = x=159.239159,y=-47.610167,label= 224, type=hazard
hazard = x=117.263318,y=-71.033929,label= 225, type=hazard
hazard = x=151.632904,y=-104.640111,label= 226, type=hazard
hazard = x=174.108055,y=-62.148800,label= 227, type=hazard
hazard = x=126.986468,y=-52.651431,label= 228, type=hazard
hazard = x=131.247266,y=-100.531380,label= 229, type=hazard
