hazard = x=5518.4657826,y=-2837.48574575,label= 0, type=benign
hazard = x=7262.35605133,y=-2432.28785955,label= 1, type=benign
hazard = x=6211.1831002,y=-4933.26244977,label= 2, type=benign
hazard = x=5141.04545028,y=-2661.19270876,label= 3, type=benign
hazard = x=213.578593766,y=-1416.26970022,label= 4, type=benign
hazard = x=2365.41893093,y=-231.332317241,label= 5, type=benign
hazard = x=4659.00475631,y=-798.995944765,label= 6, type=benign
hazard = x=7071.49280887,y=-1036.82715665,label= 7, type=benign
hazard = x=1208.11988837,y=-2147.08265665,label= 8, type=benign
hazard = x=2946.76961078,y=-2515.78493152,label= 9, type=benign
hazard = x=5954.99184011,y=-3314.03399739,label= 10, type=benign
hazard = x=7349.22395564,y=-2606.48570783,label= 11, type=benign
hazard = x=1873.38321744,y=-5237.80901616,label= 12, type=benign
hazard = x=3857.06857439,y=-6160.3289665,label= 13, type=benign
hazard = x=4198.32533773,y=-4799.30144119,label= 14, type=benign
hazard = x=7542.61888208,y=-5467.02313153,label= 15, type=benign
hazard = x=1176.71444351,y=-1467.57606658,label= 16, type=benign
hazard = x=3260.40035067,y=-1961.8234038,label= 17, type=benign
hazard = x=5164.07233879,y=-2132.85197011,label= 18, type=benign
hazard = x=6128.88230804,y=-410.648356289,label= 19, type=benign
hazard = x=1291.48434004,y=-3161.64345528,label= 20, type=benign
hazard = x=3681.70527014,y=-3822.51298373,label= 21, type=benign
hazard = x=5491.55181459,y=-2619.00988484,label= 22, type=benign
hazard = x=7301.4623574,y=-3470.44063801,label= 23, type=benign
hazard = x=2022.00931134,y=-3176.40443935,label= 24, type=benign
hazard = x=4828.10210812,y=-3215.14041686,label= 25, type=benign
hazard = x=6253.22161568,y=-3310.52004137,label= 26, type=benign
hazard = x=6709.96928814,y=-5345.79588316,label= 27, type=benign
hazard = x=2251.71125871,y=-2195.64711413,label= 28, type=benign
hazard = x=4718.00490028,y=-2351.25366874,label= 29, type=benign
hazard = x=7652.61839984,y=-2312.44456029,label= 30, type=benign
hazard = x=7970.41867052,y=-5283.69508386,label= 31, type=benign
hazard = x=4031.64488574,y=-3458.6411648,label= 32, type=benign
hazard = x=5190.50693179,y=-2143.67760699,label= 33, type=benign
hazard = x=5421.16907397,y=-3247.82376508,label= 34, type=benign
hazard = x=7050.18626877,y=-2680.17938983,label= 35, type=benign
hazard = x=6740.75587618,y=-6137.32000061,label= 36, type=benign
hazard = x=5867.04591091,y=-1230.15693416,label= 37, type=benign
hazard = x=7750.56113256,y=-891.449454716,label= 38, type=benign
hazard = x=2605.50727727,y=-3123.74057237,label= 39, type=benign
hazard = x=4422.59697418,y=-2388.01668578,label= 40, type=benign
hazard = x=7111.89847714,y=-3931.76538803,label= 41, type=benign
hazard = x=2686.66892803,y=-5362.35530407,label= 42, type=benign
hazard = x=5811.75788709,y=-5204.93937013,label= 43, type=benign
