,Anomalies(#),Blockade(#),DeepSurveyedGoals(#),DeepSurveyedGoals(Positions),Goals(#),Hotspots(Positions),RemoraAttacks(#),SurveyedGoals(#),SurveyedGoals(Positions),Time,index
0,0,0,0,,0,,0,0,,599.0,0
1,0,0,0,,1,Tx1y3,0,1,Tx1y3,593.0,0
2,0,0,0,,2,Tx1y3,0,2,Tx1y3;Tx1y4,586.0,0
3,0,0,0,,3,Tx1y3,0,3,Tx2y3;Tx1y3;Tx1y4,575.0,0
4,0,0,0,,4,Tx1y3,0,4,Tx0y3;Tx2y3;Tx1y3;Tx1y4,566.0,0
5,0,0,0,,5,Tx1y3,0,5,Tx0y3;Tx2y3;Tx1y2;Tx1y3;Tx1y4,555.0,0
6,0,0,0,,6,Tx1y3,0,6,Tx0y3;Tx2y3;Tx2y2;Tx1y2;Tx1y3;Tx1y4,546.0,0
7,0,0,0,,7,Tx1y3,0,7,Tx0y3;Tx2y3;Tx2y2;Tx1y2;Tx1y3;Tx1y4;Tx1y1,535.0,0
8,0,0,0,,8,Tx1y3,0,8,Tx0y3;Tx0y2;Tx2y3;Tx2y2;Tx1y2;Tx1y3;Tx1y4;Tx1y1,526.0,0
9,0,0,0,,9,Tx1y3,0,9,Tx0y3;Tx0y2;Tx0y1;Tx2y3;Tx2y2;Tx1y2;Tx1y3;Tx1y4;Tx1y1,515.0,0
10,0,0,0,,10,Tx1y3,0,10,Tx0y3;Tx0y2;Tx0y1;Tx2y3;Tx2y2;Tx1y2;Tx3y3;Tx1y3;Tx1y4;Tx1y1,501.0,0
11,0,0,0,,11,Tx1y3,0,11,Tx2y4;Tx0y3;Tx0y2;Tx0y1;Tx2y3;Tx2y2;Tx1y2;Tx3y3;Tx1y3;Tx1y4;Tx1y1,492.0,0
12,0,0,0,,12,Tx1y3,0,12,Tx2y4;Tx0y3;Tx0y2;Tx0y1;Tx2y3;Tx2y2;Tx3y4;Tx1y2;Tx3y3;Tx1y3;Tx1y4;Tx1y1,484.0,0
13,0,0,0,,13,Tx1y3,0,13,Tx2y4;Tx0y3;Tx0y2;Tx0y1;Tx2y3;Tx2y2;Tx3y4;Tx3y2;Tx1y2;Tx3y3;Tx1y3;Tx1y4;Tx1y1,473.0,0
14,0,0,0,,14,Tx1y3,0,14,Tx2y4;Tx0y3;Tx0y2;Tx0y1;Tx2y1;Tx2y3;Tx2y2;Tx3y4;Tx3y2;Tx1y2;Tx3y3;Tx1y3;Tx1y4;Tx1y1,460.0,0
15,0,0,0,,15,Tx1y3,0,15,Tx0y3;Tx0y2;Tx0y1;Tx2y3;Tx2y2;Tx3y4;Tx3y2;Tx1y2;Tx3y3;Tx2y4;Tx2y1;Tx0y4;Tx1y3;Tx1y4;Tx1y1,77.0,0
16,0,0,0,,16,Tx1y3,0,16,Tx0y3;Tx0y2;Tx0y1;Tx2y3;Tx2y2;Tx3y4;Tx3y2;Tx1y2;Tx3y3;Tx2y4;Tx2y1;Tx1y0;Tx0y4;Tx1y3;Tx1y4;Tx1y1,55.0,0
17,0,0,0,,17,Tx1y3;Tx3y1,0,17,Tx0y3;Tx0y2;Tx0y1;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx3y2;Tx1y2;Tx3y3;Tx2y4;Tx2y1;Tx1y0;Tx0y4;Tx1y3;Tx1y4;Tx1y1,44.0,0
18,0,0,0,,18,Tx1y3;Tx3y1,0,18,Tx0y3;Tx0y2;Tx0y1;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx3y2;Tx1y2;Tx3y3;Tx2y4;Tx2y1;Tx1y0;Tx0y4;Tx1y3;Tx1y4;Tx1y1;Tx3y0,33.0,0
19,0,0,0,,19,Tx1y3;Tx3y1,0,19,Tx0y3;Tx0y2;Tx0y1;Tx4y1;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx3y2;Tx1y2;Tx3y3;Tx2y4;Tx2y1;Tx1y0;Tx0y4;Tx1y3;Tx1y4;Tx1y1;Tx3y0,24.0,0
20,0,0,0,,20,Tx1y3;Tx3y1,0,20,Tx0y3;Tx0y2;Tx0y1;Tx4y1;Tx4y0;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx3y2;Tx1y2;Tx3y3;Tx2y4;Tx2y1;Tx1y0;Tx0y4;Tx1y3;Tx1y4;Tx1y1;Tx3y0,14.0,0
21,0,0,0,,21,Tx1y3;Tx3y1,0,21,Tx0y3;Tx0y2;Tx0y1;Tx4y1;Tx4y0;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx3y2;Tx1y2;Tx3y3;Tx2y4;Tx2y1;Tx1y0;Tx0y4;Tx2y0;Tx1y3;Tx1y4;Tx1y1;Tx3y0,3.0,0
0,0,0,0,,0,,0,0,,599.0,1
1,0,0,0,,1,Tx3y1,0,1,Tx3y1,592.0,1
2,0,0,0,,2,Tx3y1,0,2,Tx3y1;Tx3y0,583.0,1
3,0,0,0,,3,Tx3y1,0,3,Tx4y1;Tx3y1;Tx3y0,574.0,1
4,0,0,0,,4,Tx3y1,0,4,Tx4y1;Tx3y1;Tx3y2;Tx3y0,565.0,1
5,0,0,0,,5,Tx3y1,0,5,Tx2y1;Tx4y1;Tx3y1;Tx3y2;Tx3y0,554.0,1
6,0,0,0,,6,Tx3y1,0,6,Tx2y1;Tx4y1;Tx4y0;Tx3y1;Tx3y2;Tx3y0,542.0,1
