index,DeepSurveyedGoals(#)_max,DeepSurveyedGoals(#)_mean,DeepSurveyedGoals(Positions)_max,DeepSurveyedGoals(Positions)_mean,Hotspots(#)_max,Hotspots(#)_mean,SurveyedGoals(#)_max,SurveyedGoals(#)_mean,DeepSurveyedGoals(#)_random_max,DeepSurveyedGoals(#)_random_mean,DeepSurveyedGoals(Positions)_random_max,DeepSurveyedGoals(Positions)_random_mean,Hotspots(#)_random_max,Hotspots(#)_random_mean,SurveyedGoals(#)_random_max,SurveyedGoals(#)_random_mean,SurveyedGoals(#)_Perecent,SurveyedGoals(#)_random_Percent
0,0,0,,,1,1.0,16,16.0,0,0,,,1,0.5,3,2.0,64.0,12.0
1,0,0,,,2,1.5,15,12.0,0,0,,,1,1.0,5,2.3333333333333335,60.0,20.0
2,0,0,,,1,1.0,13,13.0,0,0,,,0,0.0,2,2.0,52.0,8.0
3,0,0,,,2,1.5,17,11.5,0,0,,,0,0.0,2,2.0,68.0,8.0
4,0,0,,,2,1.0,17,9.5,0,0,,,0,0.0,2,1.6666666666666667,68.0,8.0
5,0,0,,,2,1.5,16,12.0,0,0,,,0,0.0,4,2.6666666666666665,64.0,16.0
6,0,0,,,1,0.5,7,6.0,0,0,,,0,0.0,3,2.3333333333333335,28.000000000000004,12.0
7,0,0,,,2,1.5,17,16.0,0,0,,,1,0.3333333333333333,6,4.333333333333333,68.0,24.0
8,0,0,,,1,0.5,15,9.5,0,0,,,1,0.6666666666666666,6,5.333333333333333,60.0,24.0
9,0,0,,,2,1.5,17,16.0,0,0,,,1,0.3333333333333333,5,2.6666666666666665,68.0,20.0
10,0,0,,,0,0.0,15,13.5,0,0,,,1,0.6666666666666666,7,4.0,60.0,28.000000000000004
11,0,0,,,1,1.0,14,11.5,0,0,,,2,1.0,6,5.0,56.00000000000001,24.0
12,0,0,,,2,1.0,15,10.5,0,0,,,0,0.0,2,2.0,60.0,8.0
13,0,0,,,2,1.5,17,15.5,0,0,,,1,0.3333333333333333,4,3.0,68.0,16.0
14,0,0,,,2,1.5,18,14.5,0,0,,,1,0.3333333333333333,7,6.0,72.0,28.000000000000004
15,0,0,,,2,1.5,17,12.5,0,0,,,0,0.0,2,2.0,68.0,8.0
16,0,0,,,1,0.5,15,14.0,0,0,,,0,0.0,4,3.6666666666666665,60.0,16.0
17,0,0,,,3,1.5,18,16.5,0,0,,,0,0.0,7,5.666666666666667,72.0,28.000000000000004
18,0,0,,,1,0.5,15,9.0,0,0,,,1,0.6666666666666666,5,4.0,60.0,20.0
19,0,0,,,2,1.5,16,15.5,0,0,,,0,0.0,2,2.0,64.0,8.0
20,0,0,,,0,0.0,15,9.0,0,0,,,0,0.0,2,1.3333333333333333,60.0,8.0
21,0,0,,,2,2.0,16,16.0,0,0,,,0,0.0,2,2.0,64.0,8.0
22,0,0,,,2,2.0,17,15.0,0,0,,,1,0.3333333333333333,7,3.0,68.0,28.000000000000004
23,0,0,,,2,2.0,18,16.5,0,0,,,1,0.3333333333333333,5,4.0,72.0,20.0
24,0,0,,,2,1.0,17,12.5,0,0,,,0,0.0,3,2.3333333333333335,68.0,12.0
25,0,0,,,2,1.5,15,15.0,0,0,,,0,0.0,2,2.0,60.0,8.0
26,0,0,,,0,0.0,10,7.5,0,0,,,0,0.0,6,3.3333333333333335,40.0,24.0
27,0,0,,,1,0.5,12,8.5,0,0,,,1,0.3333333333333333,4,2.3333333333333335,48.0,16.0
28,0,0,,,2,1.5,15,10.5,0,0,,,1,0.6666666666666666,6,3.3333333333333335,60.0,24.0
29,0,0,,,1,1.0,16,15.0,0,0,,,1,0.3333333333333333,4,2.6666666666666665,64.0,16.0
30,0,0,,,2,1.5,17,15.5,0,0,,,0,0.0,2,1.6666666666666667,68.0,8.0
31,0,0,,,2,1.5,16,14.5,0,0,,,1,0.3333333333333333,5,4.0,64.0,20.0
32,0,0,,,2,1.5,16,15.5,0,0,,,1,0.3333333333333333,4,3.0,64.0,16.0
33,0,0,,,2,2.0,16,16.0,0,0,,,1,0.3333333333333333,5,3.0,64.0,20.0
34,0,0,,,1,1.0,16,15.5,0,0,,,1,0.6666666666666666,6,5.333333333333333,64.0,24.0
35,0,0,,,1,1.0,15,10.5,0,0,,,2,1.0,6,4.0,60.0,24.0
36,0,0,,,2,2.0,16,15.5,0,0,,,1,1.0,1,1.0,64.0,4.0
