,DeepSurveyedGoals(#),DeepSurveyedGoals(Positions),Hotspots(#),Hotspots(Positions),SurveyedGoals(#),SurveyedGoals(Positions),index
index,0,,1,Tx3y1,16,Tx0y3;Tx0y2;Tx0y1;Tx4y1;Tx4y0;Tx2y3;Tx2y2;Tx3y1;Tx1y2;Tx3y3;Tx3y0;Tx1y0;Tx2y1;Tx2y0;Tx1y3;Tx1y1,0
index,0,,1,Tx3y1,9,Tx0y2;Tx0y1;Tx4y1;Tx2y3;Tx2y2;Tx3y1;Tx1y2;Tx3y0;Tx2y1,1
index,0,,2,Tx1y3;Tx3y1,15,Tx0y3;Tx4y1;Tx4y0;Tx2y1;Tx2y3;Tx3y1;Tx3y4;Tx3y3;Tx3y0;Tx2y4;Tx2y0;Tx4y3;Tx4y2;Tx1y3;Tx1y4,1
index,0,,1,Tx1y3,13,Tx0y2;Tx0y1;Tx2y3;Tx2y2;Tx3y4;Tx0y3;Tx1y2;Tx2y4;Tx1y0;Tx0y4;Tx1y3;Tx1y4;Tx1y1,2
index,0,,1,Tx1y3,13,Tx0y2;Tx0y1;Tx2y1;Tx2y3;Tx2y2;Tx3y4;Tx0y3;Tx1y2;Tx3y3;Tx2y4;Tx1y0;Tx1y3;Tx1y1,2
index,0,,1,Tx3y1,6,Tx2y1;Tx4y1;Tx4y0;Tx3y1;Tx2y0;Tx3y0,3
index,0,,2,Tx3y1;Tx1y3,17,Tx0y3;Tx0y2;Tx4y1;Tx4y0;Tx2y3;Tx2y2;Tx3y1;Tx1y2;Tx3y3;Tx3y0;Tx2y1;Tx4y4;Tx2y0;Tx4y3;Tx4y2;Tx1y3;Tx1y4,3
index,0,,0,,2,Tx0y1;Tx1y1,4
index,0,,2,Tx1y3;Tx3y1,17,Tx0y3;Tx0y2;Tx0y1;Tx2y1;Tx2y3;Tx3y1;Tx3y4;Tx3y2;Tx3y3;Tx3y0;Tx2y4;Tx1y2;Tx0y4;Tx4y1;Tx4y2;Tx1y3;Tx1y4,4
index,0,,1,Tx1y3,8,Tx0y3;Tx2y2;Tx3y4;Tx1y2;Tx2y4;Tx0y4;Tx1y3;Tx1y4,5
index,0,,2,Tx1y3;Tx3y1,16,Tx0y3;Tx0y2;Tx0y1;Tx4y1;Tx2y2;Tx3y1;Tx3y4;Tx1y2;Tx3y0;Tx2y4;Tx2y1;Tx0y4;Tx2y0;Tx1y3;Tx1y4;Tx4y0,5
index,0,,0,,5,Tx2y4;Tx0y3;Tx0y4;Tx3y4;Tx1y4,6
index,0,,1,Tx1y3,7,Tx0y3;Tx0y2;Tx0y1;Tx2y3;Tx1y2;Tx1y3;Tx1y4,6
index,0,,2,Tx3y1;Tx1y3,17,Tx4y3;Tx4y0;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx4y1;Tx1y3;Tx3y3;Tx3y0;Tx2y4;Tx2y1;Tx1y0;Tx2y0;Tx4y2;Tx1y4;Tx1y1,7
index,0,,1,Tx3y1,15,Tx0y0;Tx4y1;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx3y0;Tx2y4;Tx2y1;Tx1y0;Tx4y4;Tx2y0;Tx4y3;Tx1y4;Tx1y1,7
index,0,,1,Tx1y3,15,Tx0y3;Tx0y2;Tx0y1;Tx2y3;Tx2y2;Tx1y2;Tx1y3;Tx3y3;Tx3y0;Tx1y0;Tx2y1;Tx2y0;Tx4y3;Tx1y4;Tx1y1,8
index,0,,0,,4,Tx2y3;Tx3y2;Tx4y3;Tx3y3,8
index,0,,1,Tx1y3,15,Tx0y3;Tx0y2;Tx0y1;Tx4y1;Tx4y0;Tx2y3;Tx3y2;Tx1y3;Tx3y3;Tx3y0;Tx1y2;Tx2y0;Tx4y3;Tx4y2;Tx1y4,9
index,0,,2,Tx1y3;Tx3y1,17,Tx0y3;Tx0y2;Tx0y1;Tx4y1;Tx4y3;Tx4y0;Tx2y3;Tx2y2;Tx3y1;Tx3y3;Tx3y0;Tx1y2;Tx2y1;Tx2y0;Tx4y2;Tx1y3;Tx1y4,9
index,0,,0,,12,Tx0y0;Tx4y1;Tx4y2;Tx3y1;Tx3y0;Tx2y1;Tx1y0;Tx4y4;Tx2y0;Tx4y3;Tx1y1;Tx4y0,10
index,0,,0,,15,Tx0y0;Tx0y2;Tx0y1;Tx4y1;Tx2y2;Tx3y1;Tx1y2;Tx3y0;Tx2y1;Tx1y0;Tx2y0;Tx4y3;Tx4y2;Tx1y1;Tx4y0,10
