,DeepSurveyedGoals(#),DeepSurveyedGoals(Positions),Hotspots(#),Hotspots(Positions),SurveyedGoals(#),SurveyedGoals(Positions),index
index,0,,1,Tx1y3,3,Tx1y3;Tx1y3;Tx1y4,0
index,0,,0,,1,Tx1y3,0
index,0,,1,Tx3y1,5,Tx2y1;Tx4y1;Tx3y1;Tx3y1;Tx3y0,1
index,0,,1,Tx3y1,1,Tx3y1,1
index,0,,1,Tx3y1,1,Tx3y1,1
index,0,,0,,2,Tx0y2;Tx0y1,2
index,0,,0,,2,Tx0y2;Tx0y1,2
index,0,,0,,2,Tx0y2;Tx0y1,2
index,0,,0,,2,Tx1y0;Tx2y0,3
index,0,,0,,2,Tx1y0;Tx2y0,3
index,0,,0,,2,Tx1y0;Tx2y0,3
index,0,,0,,2,Tx0y2;Tx0y1,4
index,0,,0,,2,Tx0y2;Tx0y1,4
index,0,,0,,1,Tx0y1,4
index,0,,0,,2,Tx2y4;Tx3y4,5
index,0,,0,,4,Tx2y4;Tx2y3;Tx3y4;Tx1y4,5
index,0,,0,,2,Tx3y4;Tx3y3,5
index,0,,0,,2,Tx0y2;Tx0y1,6
index,0,,0,,2,Tx0y2;Tx0y1,6
index,0,,0,,3,Tx0y2;Tx0y1;Tx1y2,6
index,0,,0,,5,Tx0y0;Tx1y0;Tx0y2;Tx1y2;Tx1y1,7
index,0,,0,,2,Tx1y0;Tx1y1,7
index,0,,1,Tx1y3,6,Tx0y3;Tx0y2;Tx1y2;Tx1y3;Tx2y3;Tx1y3,7
index,0,,1,Tx1y3,4,Tx2y3;Tx3y2;Tx3y3;Tx1y3,8
index,0,,1,Tx1y3,6,Tx0y3;Tx2y3;Tx3y2;Tx3y3;Tx1y3;Tx1y4,8
index,0,,0,,6,Tx2y1;Tx2y1;Tx2y3;Tx2y2;Tx3y2;Tx3y3,8
index,0,,1,Tx1y2,5,Tx0y2;Tx1y2;Tx0y1;Tx1y2;Tx2y2,9
index,0,,0,,2,Tx0y2;Tx1y2,9
index,0,,0,,1,Tx0y2,9
index,0,,1,Tx3y1,7,Tx2y1;Tx4y1;Tx4y0;Tx3y1;Tx3y1;Tx2y0;Tx3y0,10
