,Anomalies(#),Blockade(#),Change(#),DeepSurveyedGoals(#),DeepSurveyedGoals(Positions),Hotspots(#),Hotspots(Positions),RemoraAttacks(#),SurveyedGoals(#),SurveyedGoals(Positions),index
index,4,2,0,0,,0,,2,4,Tx0y3;Tx0y2;Tx2y2;Tx1y2,0
index,3,1,1,1,Tx3y1,1,Tx3y1,2,4,Tx4y1;Tx3y1;Tx3y1;Tx3y0,1
index,4,3,0,0,,0,,1,2,Tx0y2;Tx0y1,2
index,3,2,0,0,,0,,1,2,Tx1y0;Tx2y0,3
index,4,3,0,0,,0,,1,1,Tx0y1,4
index,4,3,0,0,,0,,1,1,Tx3y4,5
index,4,3,0,0,,0,,1,1,Tx0y1,6
index,7,4,0,0,,0,,3,4,Tx2y1;Tx2y2;Tx1y2;Tx1y1,7
index,3,1,0,0,,0,,2,4,Tx2y3;Tx2y2;Tx3y2;Tx3y3,8
index,6,3,1,0,,1,Tx1y3,3,4,Tx0y2;Tx0y3;Tx1y2;Tx1y3,9
index,3,1,1,1,Tx3y1,1,Tx3y1,2,4,Tx4y1;Tx3y1;Tx3y1;Tx3y0,10
index,3,1,0,0,,0,,2,5,Tx0y2;Tx2y1;Tx2y2;Tx1y2;Tx1y1,11
index,3,1,0,0,,0,,2,4,Tx0y3;Tx0y2;Tx0y1;Tx1y2,12
index,4,2,0,0,,0,,2,4,Tx2y1;Tx2y2;Tx1y2;Tx1y1,13
index,3,1,0,0,,0,,2,4,Tx2y3;Tx2y2;Tx3y2;Tx3y3,14
index,5,3,0,0,,0,,2,4,Tx2y4;Tx2y3;Tx3y4;Tx1y4,15
index,8,5,0,0,,0,,3,3,Tx2y4;Tx3y4;Tx1y4,16
index,3,1,0,0,,0,,2,4,Tx3y3;Tx2y3;Tx3y2;Tx4y3,17
index,6,2,1,0,,1,Tx3y1,4,7,Tx4y1;Tx4y0;Tx3y1;Tx3y0;Tx2y1;Tx2y0;Tx1y1,18
index,8,4,1,0,,1,Tx3y1,4,6,Tx1y0;Tx4y1;Tx3y1;Tx3y0;Tx2y1;Tx1y1,19
index,4,2,0,0,,0,,2,4,Tx0y3;Tx0y2;Tx2y2;Tx1y2,20
index,4,3,0,0,,0,,1,1,Tx0y1,21
index,6,3,1,0,,1,Tx1y3,3,4,Tx0y2;Tx0y3;Tx1y2;Tx1y3,22
index,5,3,0,0,,0,,2,4,Tx0y3;Tx0y2;Tx2y2;Tx1y2,23
index,6,2,1,0,,1,Tx1y3,4,6,Tx0y3;Tx2y3;Tx0y4;Tx1y2;Tx1y3;Tx2y2,24
