,Anomalies(#),Blockade(#),Change(#),DeepSurveyedGoals(#),DeepSurveyedGoals(Positions),Hotspots(#),Hotspots(Positions),RemoraAttacks(#),SurveyedGoals(#),SurveyedGoals(Positions),index
index,28,16,2,1,Tx3y1,2,Tx3y1;Tx1y3,12,21,Tx0y0;Tx0y3;Tx0y1;Tx4y3;Tx2y3;Tx2y2;Tx3y1;Tx3y1;Tx3y2;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx2y1;Tx1y0;Tx3y4;Tx2y0;Tx4y1;Tx1y3;Tx1y1;Tx4y0,0
index,23,10,1,0,,1,Tx3y1,13,17,Tx0y2;Tx0y1;Tx4y1;Tx4y0;Tx3y1;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx2y1;Tx3y4;Tx4y4;Tx2y0;Tx4y3;Tx4y2;Tx1y4;Tx2y2,1
index,29,16,2,2,Tx1y3;Tx3y1,2,Tx1y3;Tx3y1,13,26,Tx0y2;Tx0y1;Tx1y3;Tx4y1;Tx4y0;Tx2y3;Tx2y2;Tx3y4;Tx3y1;Tx3y2;Tx0y3;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx3y1;Tx2y1;Tx1y0;Tx0y4;Tx4y4;Tx2y0;Tx4y3;Tx4y2;Tx1y3;Tx1y4;Tx1y1,2
index,24,12,2,2,Tx3y1;Tx1y3,2,Tx1y3;Tx3y1,12,19,Tx0y3;Tx0y2;Tx0y1;Tx4y1;Tx2y3;Tx2y2;Tx3y1;Tx3y1;Tx1y2;Tx1y3;Tx3y3;Tx3y0;Tx2y1;Tx1y3;Tx4y4;Tx2y0;Tx4y3;Tx4y2;Tx4y0,3
index,28,16,1,1,Tx3y1,1,Tx3y1,12,20,Tx0y2;Tx0y1;Tx4y1;Tx4y0;Tx2y2;Tx3y1;Tx3y4;Tx3y1;Tx3y2;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx2y1;Tx1y0;Tx4y4;Tx2y0;Tx4y3;Tx1y4;Tx1y1,4
index,21,9,1,1,Tx1y3,1,Tx1y3,12,19,Tx0y3;Tx0y2;Tx4y1;Tx4y0;Tx2y3;Tx2y2;Tx3y4;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx1y3;Tx0y4;Tx2y0;Tx4y3;Tx4y2;Tx1y3;Tx1y4;Tx2y1,5
index,22,10,1,1,Tx3y1,1,Tx3y1,12,17,Tx0y2;Tx0y1;Tx4y1;Tx4y0;Tx2y2;Tx3y1;Tx3y1;Tx3y2;Tx3y0;Tx2y1;Tx1y0;Tx1y2;Tx4y4;Tx2y0;Tx4y3;Tx4y2;Tx1y1,6
index,26,13,1,1,Tx1y3,1,Tx1y3,13,23,Tx0y2;Tx0y1;Tx2y3;Tx4y1;Tx2y2;Tx3y4;Tx3y2;Tx0y3;Tx1y2;Tx3y3;Tx2y4;Tx1y0;Tx4y0;Tx1y3;Tx0y4;Tx4y4;Tx2y0;Tx4y3;Tx4y2;Tx1y3;Tx1y4;Tx1y1;Tx3y0,7
index,32,19,2,2,Tx3y1;Tx1y3,2,Tx1y3;Tx3y1,13,26,Tx0y0;Tx0y3;Tx0y2;Tx0y1;Tx2y3;Tx4y1;Tx4y3;Tx2y1;Tx2y2;Tx3y1;Tx3y1;Tx3y2;Tx1y2;Tx1y3;Tx3y3;Tx3y0;Tx2y4;Tx3y4;Tx1y3;Tx0y4;Tx4y4;Tx2y0;Tx4y2;Tx1y4;Tx1y1;Tx4y0,8
index,24,12,2,2,Tx3y1;Tx1y3,2,Tx3y1;Tx1y3,12,23,Tx0y0;Tx0y3;Tx0y2;Tx4y3;Tx4y0;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx3y1;Tx3y2;Tx1y2;Tx4y1;Tx3y3;Tx3y0;Tx2y4;Tx1y0;Tx2y1;Tx1y3;Tx2y0;Tx4y2;Tx1y3;Tx1y1,9
