,Anomalies(#),Blockade(#),Change(#),DeepSurveyedGoals(#),DeepSurveyedGoals(Positions),Hotspots(#),Hotspots(Positions),RemoraAttacks(#),SurveyedGoals(#),SurveyedGoals(Positions),index
index,3,1,1,1,Tx1y3,1,Tx1y3,2,1,Tx1y3,0
index,2,0,1,1,Tx3y1,1,Tx3y1,2,2,Tx3y1;Tx3y0,1
index,4,3,0,0,,0,,1,1,Tx0y1,2
index,4,2,0,0,,0,,2,2,Tx2y0;Tx3y0,3
index,4,2,0,0,,0,,2,2,Tx0y2;Tx0y1,4
index,7,4,0,0,,0,,3,3,Tx2y4;Tx3y4;Tx1y4,5
index,4,2,0,0,,0,,2,3,Tx0y2;Tx0y1;Tx1y2,6
index,3,1,0,0,,0,,2,3,Tx2y1;Tx2y2;Tx1y1,7
index,4,1,0,0,,0,,3,4,Tx2y3;Tx2y2;Tx3y2;Tx3y3,8
index,4,1,0,0,,0,,3,4,Tx0y3;Tx0y2;Tx0y1;Tx1y2,9
index,2,0,1,1,Tx3y1,1,Tx3y1,2,2,Tx3y1;Tx3y0,10
index,3,1,0,0,,0,,2,3,Tx2y1;Tx2y2;Tx1y2,11
index,4,2,0,0,,0,,2,3,Tx0y3;Tx0y2;Tx1y2,12
index,3,1,0,0,,0,,2,3,Tx2y2;Tx1y2;Tx1y1,13
index,4,1,0,0,,0,,3,4,Tx2y3;Tx2y2;Tx3y2;Tx3y3,14
index,3,1,0,0,,0,,2,3,Tx2y4;Tx2y3;Tx3y4,15
index,5,3,0,0,,0,,2,3,Tx2y4;Tx3y4;Tx1y4,16
index,3,1,0,0,,0,,2,3,Tx3y3;Tx3y2;Tx4y3,17
index,4,2,1,0,,1,Tx3y1,2,3,Tx2y1;Tx3y1;Tx1y1,18
index,5,3,0,0,,0,,2,3,Tx2y1;Tx1y0;Tx1y1,19
index,4,2,0,0,,0,,2,3,Tx0y0;Tx1y0;Tx1y1,20
index,4,2,0,0,,0,,2,2,Tx0y2;Tx0y1,21
index,4,1,0,0,,0,,3,4,Tx0y3;Tx0y2;Tx0y1;Tx1y2,22
index,3,1,0,0,,0,,2,3,Tx0y3;Tx0y2;Tx0y1,23
index,4,2,0,0,,0,,2,2,Tx0y3;Tx0y4,24
