,Anomalies(#),Blockade(#),DeepSurveyedGoals(#),DeepSurveyedGoals(Positions),Goals(#),Hotspots(Positions),RemoraAttacks(#),SurveyedGoals(#),SurveyedGoals(Positions),Time,index
0,0,0,0,,0,,0,0,,599.0,0
1,0,0,0,,1,Tx1y3,0,1,Tx1y3,593.0,0
2,1,0,1,Tx1y3,2,Tx1y3,1,1,Tx1y3,578.0,0
0,0,0,0,,0,,0,0,,599.0,1
1,0,0,0,,1,Tx3y1,0,1,Tx3y1,592.0,1
2,1,0,1,Tx3y1,2,Tx3y1,1,1,Tx3y1,579.0,1
3,2,0,1,Tx3y1,3,Tx3y1,2,2,Tx3y1;Tx3y0,570.0,1
0,0,0,0,,0,,0,0,,599.0,2
1,0,0,0,,1,,0,1,Tx0y1,593.0,2
0,0,0,0,,0,,0,0,,599.0,3
1,0,0,0,,1,,0,1,Tx2y0,592.0,3
2,3,2,0,,2,,1,2,Tx2y0;Tx3y0,569.0,3
0,0,0,0,,0,,0,0,,599.0,4
1,0,0,0,,1,,0,1,Tx0y1,592.0,4
2,3,2,0,,2,,1,2,Tx0y2;Tx0y1,574.0,4
0,0,0,0,,0,,0,0,,599.0,5
1,0,0,0,,1,,0,1,Tx3y4,592.0,5
2,3,2,0,,2,,1,2,Tx2y4;Tx3y4,574.0,5
3,5,3,0,,3,,2,3,Tx2y4;Tx3y4;Tx1y4,562.0,5
0,0,0,0,,0,,0,0,,599.0,6
1,0,0,0,,1,,0,1,Tx0y1,593.0,6
2,3,2,0,,2,,1,2,Tx0y2;Tx0y1,575.0,6
3,4,2,0,,3,,2,3,Tx0y2;Tx0y1;Tx1y2,559.0,6
0,0,0,0,,0,,0,0,,599.0,7
1,0,0,0,,1,,0,1,Tx1y1,592.0,7
2,2,1,0,,2,,1,2,Tx2y1;Tx1y1,574.0,7
3,3,1,0,,3,,2,3,Tx2y1;Tx2y2;Tx1y1,556.0,7
0,0,0,0,,0,,0,0,,599.0,8
1,0,0,0,,1,,0,1,Tx3y3,592.0,8
2,1,0,0,,2,,1,2,Tx3y2;Tx3y3,582.0,8
3,1,0,0,,3,,1,3,Tx2y3;Tx3y2;Tx3y3,572.0,8
4,2,0,0,,4,,2,4,Tx2y3;Tx2y2;Tx3y2;Tx3y3,561.0,8
0,0,0,0,,0,,0,0,,599.0,9
1,0,0,0,,1,,0,1,Tx0y2,592.0,9
2,1,0,0,,2,,1,2,Tx0y2;Tx0y1,581.0,9
3,2,0,0,,3,,2,3,Tx0y2;Tx0y1;Tx1y2,564.0,9
4,2,0,0,,4,,2,4,Tx0y3;Tx0y2;Tx0y1;Tx1y2,554.0,9
0,0,0,0,,0,,0,0,,599.0,10
1,0,0,0,,1,Tx3y1,0,1,Tx3y1,593.0,10
2,1,0,1,Tx3y1,2,Tx3y1,1,1,Tx3y1,580.0,10
3,1,0,1,Tx3y1,3,Tx3y1,1,2,Tx3y1;Tx3y0,571.0,10
0,0,0,0,,0,,0,0,,599.0,11
1,0,0,0,,1,,0,1,Tx2y2,592.0,11
2,1,0,0,,2,,1,2,Tx2y1;Tx2y2,582.0,11
3,1,0,0,,3,,1,3,Tx2y1;Tx2y2;Tx1y2,572.0,11
0,0,0,0,,0,,0,0,,599.0,12
1,0,0,0,,1,,0,1,Tx0y3,592.0,12
2,2,1,0,,2,,1,2,Tx0y3;Tx0y2,572.0,12
3,3,1,0,,3,,2,3,Tx0y3;Tx0y2;Tx1y2,554.0,12
0,0,0,0,,0,,0,0,,599.0,13
1,0,0,0,,1,,0,1,Tx1y2,593.0,13
2,1,0,0,,2,,1,2,Tx2y2;Tx1y2,577.0,13
3,3,1,0,,3,,2,3,Tx2y2;Tx1y2;Tx1y1,552.0,13
0,0,0,0,,0,,0,0,,599.0,14
1,0,0,0,,1,,0,1,Tx3y3,592.0,14
2,1,0,0,,2,,1,2,Tx3y2;Tx3y3,582.0,14
3,1,0,0,,3,,1,3,Tx2y3;Tx3y2;Tx3y3,572.0,14
4,2,0,0,,4,,2,4,Tx2y3;Tx2y2;Tx3y2;Tx3y3,562.0,14
0,0,0,0,,0,,0,0,,599.0,15
1,0,0,0,,1,,0,1,Tx3y4,593.0,15
2,1,0,0,,2,,1,2,Tx2y4;Tx3y4,583.0,15
3,3,1,0,,3,,2,3,Tx2y4;Tx2y3;Tx3y4,568.0,15
0,0,0,0,,0,,0,0,,599.0,16
1,0,0,0,,1,,0,1,Tx2y4,594.0,16
2,1,0,0,,2,,1,2,Tx2y4;Tx3y4,583.0,16
3,4,2,0,,3,,2,3,Tx2y4;Tx3y4;Tx1y4,561.0,16
0,0,0,0,,0,,0,0,,599.0,17
1,0,0,0,,1,,0,1,Tx4y3,592.0,17
2,2,1,0,,2,,1,2,Tx3y3;Tx4y3,578.0,17
3,3,1,0,,3,,2,3,Tx3y3;Tx3y2;Tx4y3,568.0,17
0,0,0,0,,0,,0,0,,599.0,18
1,0,0,0,,1,,0,1,Tx2y1,592.0,18
2,2,1,0,,2,,1,2,Tx2y1;Tx1y1,578.0,18
3,4,2,0,,3,Tx3y1,2,3,Tx2y1;Tx3y1;Tx1y1,565.0,18
0,0,0,0,,0,,0,0,,599.0,19
1,0,0,0,,1,,0,1,Tx1y0,592.0,19
2,1,0,0,,2,,1,2,Tx1y0;Tx1y1,583.0,19
