,Anomalies(#),Blockade(#),Change(#),DeepSurveyedGoals(#),DeepSurveyedGoals(Positions),Hotspots(#),Hotspots(Positions),RemoraAttacks(#),SurveyedGoals(#),SurveyedGoals(Positions),index
index,43,17,2,2,Tx3y1;Tx1y3,2,Tx3y1;Tx1y3,26,25,Tx0y0;Tx0y3;Tx0y2;Tx0y1;Tx4y1;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx3y2;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx2y1;Tx1y0;Tx0y4;Tx4y4;Tx2y0;Tx4y3;Tx4y2;Tx1y3;Tx1y4;Tx1y1;Tx4y0,0
index,44,17,2,2,Tx3y1;Tx1y3,2,Tx3y1;Tx1y3,27,25,Tx0y0;Tx0y3;Tx0y2;Tx0y1;Tx4y1;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx3y2;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx2y1;Tx1y0;Tx0y4;Tx4y4;Tx2y0;Tx4y3;Tx4y2;Tx1y3;Tx1y4;Tx1y1;Tx4y0,1
index,39,15,2,2,Tx3y1;Tx1y3,2,Tx3y1;Tx1y3,24,25,Tx0y0;Tx0y3;Tx0y2;Tx0y1;Tx4y3;Tx4y0;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx3y2;Tx3y3;Tx3y0;Tx2y4;Tx2y1;Tx1y0;Tx1y2;Tx0y4;Tx4y4;Tx2y0;Tx4y1;Tx4y2;Tx1y3;Tx1y4;Tx1y1,2
index,44,19,2,2,Tx3y1;Tx1y3,2,Tx3y1;Tx1y3,25,25,Tx0y0;Tx0y2;Tx0y1;Tx4y1;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx3y2;Tx0y3;Tx1y2;Tx1y3;Tx3y3;Tx3y0;Tx2y4;Tx2y1;Tx1y0;Tx0y4;Tx4y4;Tx2y0;Tx4y3;Tx4y2;Tx1y4;Tx1y1;Tx4y0,3
index,39,14,2,2,Tx3y1;Tx1y3,2,Tx1y3;Tx3y1,25,25,Tx0y0;Tx0y3;Tx0y2;Tx0y1;Tx4y1;Tx4y0;Tx2y1;Tx2y3;Tx3y1;Tx3y4;Tx3y2;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx1y0;Tx0y4;Tx4y4;Tx2y0;Tx4y3;Tx4y2;Tx1y3;Tx1y4;Tx1y1;Tx2y2,4
index,41,16,2,2,Tx3y1;Tx1y3,2,Tx3y1;Tx1y3,25,25,Tx0y0;Tx0y3;Tx0y2;Tx0y1;Tx4y1;Tx4y0;Tx2y3;Tx2y2;Tx3y1;Tx2y0;Tx3y4;Tx3y2;Tx1y2;Tx3y3;Tx2y4;Tx2y1;Tx1y0;Tx0y4;Tx4y4;Tx4y3;Tx4y2;Tx1y3;Tx1y4;Tx1y1;Tx3y0,5
index,40,12,2,2,Tx3y1;Tx1y3,2,Tx3y1;Tx1y3,28,25,Tx0y0;Tx0y3;Tx0y2;Tx0y1;Tx4y1;Tx4y0;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx3y2;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx2y1;Tx1y0;Tx0y4;Tx4y4;Tx2y0;Tx4y3;Tx4y2;Tx1y3;Tx1y4;Tx1y1,6
index,41,17,2,2,Tx3y1;Tx1y3,2,Tx3y1;Tx1y3,24,25,Tx0y0;Tx0y2;Tx0y1;Tx4y1;Tx2y1;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx3y2;Tx0y3;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx1y0;Tx0y4;Tx4y4;Tx2y0;Tx4y3;Tx4y2;Tx1y3;Tx1y4;Tx1y1;Tx4y0,7
index,42,17,2,2,Tx3y1;Tx1y3,2,Tx1y3;Tx3y1,25,25,Tx0y0;Tx0y3;Tx0y2;Tx0y1;Tx4y1;Tx2y3;Tx2y2;Tx3y1;Tx3y2;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx2y1;Tx1y0;Tx3y4;Tx0y4;Tx4y4;Tx2y0;Tx4y3;Tx4y2;Tx1y3;Tx1y4;Tx1y1;Tx4y0,8
index,43,14,2,2,Tx3y1;Tx1y3,2,Tx3y1;Tx1y3,29,22,Tx0y0;Tx0y3;Tx0y2;Tx0y1;Tx4y3;Tx4y0;Tx2y3;Tx3y1;Tx3y4;Tx3y2;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx2y1;Tx1y0;Tx2y2;Tx2y0;Tx4y1;Tx4y2;Tx1y3;Tx1y1,9
index,42,17,2,2,Tx3y1;Tx1y3,2,Tx1y3;Tx3y1,25,25,Tx0y0;Tx0y3;Tx0y2;Tx0y1;Tx4y1;Tx4y3;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx3y2;Tx4y0;Tx3y3;Tx3y0;Tx2y4;Tx2y1;Tx1y0;Tx1y2;Tx0y4;Tx4y4;Tx2y0;Tx4y2;Tx1y3;Tx1y4;Tx1y1,10
index,46,19,2,2,Tx1y3;Tx3y1,2,Tx3y1;Tx1y3,27,25,Tx0y0;Tx0y2;Tx0y1;Tx4y1;Tx4y0;Tx2y3;Tx2y2;Tx3y4;Tx3y2;Tx0y3;Tx1y2;Tx1y3;Tx3y3;Tx3y0;Tx2y4;Tx3y1;Tx2y1;Tx1y0;Tx0y4;Tx4y4;Tx2y0;Tx4y3;Tx4y2;Tx1y4;Tx1y1,11
index,45,19,2,2,Tx3y1;Tx1y3,2,Tx3y1;Tx1y3,26,25,Tx0y0;Tx0y3;Tx0y2;Tx0y1;Tx4y1;Tx2y3;Tx2y2;Tx3y1;Tx3y2;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx2y1;Tx1y0;Tx3y4;Tx0y4;Tx4y4;Tx2y0;Tx4y3;Tx4y2;Tx1y3;Tx1y4;Tx1y1;Tx4y0,12
index,43,19,2,2,Tx3y1;Tx1y3,2,Tx3y1;Tx1y3,24,25,Tx0y0;Tx0y2;Tx0y1;Tx4y1;Tx4y0;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx3y2;Tx0y3;Tx1y2;Tx1y3;Tx3y3;Tx2y4;Tx2y1;Tx1y0;Tx0y4;Tx4y4;Tx2y0;Tx4y3;Tx4y2;Tx1y4;Tx1y1;Tx3y0,13
index,43,18,2,2,Tx3y1;Tx1y3,2,Tx1y3;Tx3y1,25,25,Tx0y0;Tx0y3;Tx0y2;Tx0y1;Tx2y3;Tx4y1;Tx4y0;Tx3y1;Tx3y2;Tx1y2;Tx1y3;Tx3y3;Tx2y4;Tx2y1;Tx1y0;Tx3y4;Tx0y4;Tx4y4;Tx2y0;Tx4y3;Tx4y2;Tx1y4;Tx1y1;Tx3y0;Tx2y2,14
index,36,12,2,2,Tx3y1;Tx1y3,2,Tx1y3;Tx3y1,24,25,Tx0y0;Tx0y2;Tx0y1;Tx4y1;Tx4y0;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx3y2;Tx0y3;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx2y1;Tx1y0;Tx0y4;Tx4y4;Tx1y3;Tx2y0;Tx4y3;Tx4y2;Tx1y4;Tx1y1,15
