,Anomalies(#),Blockade(#),RemoraAttacks(#),Time,index
0,0,0,0,599.0,0
1,1,0,1,588.0,0
2,2,0,2,574.0,0
3,3,1,2,562.0,0
4,4,1,3,561.0,0
5,5,1,4,553.0,0
6,6,1,5,541.0,0
7,7,2,5,537.0,0
8,8,2,6,527.0,0
9,9,3,6,519.0,0
10,10,4,6,504.0,0
11,11,4,7,499.0,0
12,12,4,8,476.0,0
13,13,5,8,472.0,0
14,14,5,9,458.0,0
15,15,5,10,439.0,0
16,16,6,10,433.0,0
17,17,6,11,421.0,0
18,18,6,12,400.0,0
19,19,6,13,395.0,0
20,20,6,14,372.0,0
21,21,6,15,356.0,0
22,22,7,15,345.0,0
23,23,7,16,344.0,0
24,24,7,17,326.0,0
25,25,8,17,319.0,0
26,26,9,17,314.0,0
27,27,9,18,305.0,0
28,28,10,18,295.0,0
29,29,11,18,284.0,0
30,30,12,18,256.0,0
31,31,12,19,254.0,0
32,32,13,19,236.0,0
33,33,13,20,233.0,0
34,34,13,21,218.0,0
35,35,14,21,196.0,0
36,36,15,21,188.0,0
37,37,15,22,182.0,0
38,38,15,23,168.0,0
39,39,16,23,162.0,0
40,40,16,24,147.0,0
41,41,17,24,129.0,0
42,42,17,25,83.0,0
43,43,17,26,9.0,0
0,0,0,0,599.0,1
1,1,0,1,586.0,1
2,2,0,2,568.0,1
3,3,1,2,557.0,1
4,4,1,3,554.0,1
5,5,1,4,547.0,1
6,6,1,5,533.0,1
7,7,1,6,519.0,1
8,8,2,6,515.0,1
9,9,2,7,490.0,1
10,10,3,7,484.0,1
11,11,3,8,467.0,1
12,12,4,8,452.0,1
13,13,4,9,446.0,1
14,14,4,10,427.0,1
15,15,5,10,412.0,1
16,16,5,11,409.0,1
17,17,5,12,392.0,1
18,18,5,13,387.0,1
19,19,5,14,367.0,1
20,20,6,14,358.0,1
21,21,6,15,351.0,1
22,22,7,15,343.0,1
23,23,7,16,339.0,1
24,24,7,17,322.0,1
25,25,7,18,293.0,1
26,26,8,18,284.0,1
27,27,9,18,277.0,1
28,28,10,18,263.0,1
