,Anomalies(#),Blockade(#),DeepSurveyedGoals(#),DeepSurveyedGoals(Positions),Goals(#),Hotspots(Positions),RemoraAttacks(#),SurveyedGoals(#),SurveyedGoals(Positions),Time,index
0,0,0,0,,0,,0,0,,599.0,0
1,0,0,0,,1,Tx1y3,0,1,Tx1y3,593.0,0
2,2,0,1,Tx1y3,2,Tx1y3,2,1,Tx1y3,563.0,0
3,5,1,1,Tx1y3,3,Tx1y3,4,2,Tx2y3;Tx1y3,551.0,0
4,6,1,1,Tx1y3,4,Tx1y3,5,3,Tx0y3;Tx2y3;Tx1y3,539.0,0
5,8,2,1,Tx1y3,5,Tx1y3,6,4,Tx0y3;Tx2y3;Tx3y3;Tx1y3,523.0,0
6,9,3,1,Tx1y3,6,Tx1y3,6,5,Tx0y3;Tx2y3;Tx2y2;Tx3y3;Tx1y3,507.0,0
7,11,4,1,Tx1y3,7,Tx1y3,7,6,Tx2y4;Tx0y3;Tx2y3;Tx2y2;Tx3y3;Tx1y3,486.0,0
8,12,4,1,Tx1y3,8,Tx1y3,8,7,Tx0y3;Tx2y3;Tx2y2;Tx3y4;Tx3y3;Tx2y4;Tx1y3,474.0,0
9,14,5,1,Tx1y3,9,Tx1y3,9,8,Tx0y3;Tx2y1;Tx2y3;Tx2y2;Tx3y4;Tx3y3;Tx2y4;Tx1y3,452.0,0
10,15,5,1,Tx1y3,10,Tx1y3,10,9,Tx0y3;Tx2y1;Tx2y3;Tx2y2;Tx3y4;Tx3y2;Tx3y3;Tx2y4;Tx1y3,436.0,0
11,16,6,1,Tx1y3,11,Tx1y3,10,10,Tx0y3;Tx2y1;Tx2y3;Tx2y2;Tx3y4;Tx3y2;Tx3y3;Tx2y4;Tx4y2;Tx1y3,424.0,0
12,17,6,1,Tx1y3,12,Tx3y1;Tx1y3,11,11,Tx0y3;Tx2y1;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx3y2;Tx3y3;Tx2y4;Tx4y2;Tx1y3,411.0,0
13,18,6,2,Tx3y1;Tx1y3,13,Tx1y3;Tx3y1,12,11,Tx0y3;Tx2y1;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx3y2;Tx3y3;Tx2y4;Tx4y2;Tx1y3,397.0,0
14,19,6,2,Tx3y1;Tx1y3,14,Tx3y1;Tx1y3,13,12,Tx0y3;Tx2y1;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx3y2;Tx3y3;Tx3y0;Tx2y4;Tx4y2;Tx1y3,388.0,0
15,19,6,2,Tx3y1;Tx1y3,15,Tx3y1;Tx1y3,13,13,Tx0y3;Tx2y1;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx3y2;Tx3y3;Tx3y0;Tx2y4;Tx4y1;Tx4y2;Tx1y3,378.0,0
16,20,6,2,Tx3y1;Tx1y3,16,Tx3y1;Tx1y3,14,14,Tx0y3;Tx4y0;Tx2y1;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx3y2;Tx3y3;Tx3y0;Tx2y4;Tx4y1;Tx4y2;Tx1y3,361.0,0
17,21,6,2,Tx3y1;Tx1y3,17,Tx3y1;Tx1y3,15,15,Tx0y3;Tx4y0;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx3y2;Tx3y3;Tx3y0;Tx2y4;Tx2y1;Tx2y0;Tx4y1;Tx4y2;Tx1y3,349.0,0
18,23,7,2,Tx3y1;Tx1y3,18,Tx3y1;Tx1y3,16,16,Tx0y3;Tx4y0;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx3y2;Tx3y3;Tx3y0;Tx2y4;Tx2y1;Tx2y0;Tx4y1;Tx4y2;Tx1y3;Tx1y1,333.0,0
19,24,7,2,Tx3y1;Tx1y3,19,Tx3y1;Tx1y3,17,17,Tx0y3;Tx4y0;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx3y2;Tx3y3;Tx3y0;Tx2y4;Tx2y1;Tx1y0;Tx2y0;Tx4y1;Tx4y2;Tx1y3;Tx1y1,322.0,0
20,27,9,2,Tx3y1;Tx1y3,20,Tx3y1;Tx1y3,18,18,Tx0y3;Tx0y1;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx3y2;Tx3y3;Tx3y0;Tx2y4;Tx2y1;Tx1y0;Tx2y0;Tx4y1;Tx4y2;Tx1y3;Tx1y1;Tx4y0,297.0,0
21,29,11,2,Tx3y1;Tx1y3,21,Tx3y1;Tx1y3,18,19,Tx0y3;Tx0y1;Tx4y3;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx3y2;Tx3y3;Tx3y0;Tx2y4;Tx2y1;Tx1y0;Tx2y0;Tx4y1;Tx4y2;Tx1y3;Tx1y1;Tx4y0,271.0,0
22,31,12,2,Tx3y1;Tx1y3,22,Tx3y1;Tx1y3,19,20,Tx0y0;Tx0y3;Tx0y1;Tx4y3;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx3y2;Tx3y3;Tx3y0;Tx2y4;Tx2y1;Tx1y0;Tx2y0;Tx4y1;Tx4y2;Tx1y3;Tx1y1;Tx4y0,238.0,0
