hazard = x=159.87860485787914,y=-225.33025593136867,label= 0, type=benign
hazard = x=-38.13008457458899,y=-21.001101922476153,label= 1, type=benign
hazard = x=71.6079323617223,y=-265.83308408903497,label= 2, type=benign
hazard = x=138.7591749432421,y=-264.88565807989875,label= 3, type=benign
hazard = x=193.75834384287202,y=-302.26472085606395,label= 4, type=benign
hazard = x=13.768866332238744,y=-204.62259588130496,label= 5, type=benign
hazard = x=25.71326640517983,y=-173.5149542716888,label= 6, type=benign
hazard = x=134.42544176671453,y=-227.56088623946744,label= 7, type=benign
hazard = x=228.66107784653212,y=-240.13944537185233,label= 8, type=benign
hazard = x=-95.6593583905707,y=-124.63031469400539,label= 9, type=benign
hazard = x=-31.133115640883197,y=-133.3104501031629,label= 10, type=benign
hazard = x=41.08604453179095,y=-132.05893301535693,label= 11, type=benign
hazard = x=132.0328408194414,y=-151.96130134187877,label= 12, type=benign
hazard = x=-17.832131829772543,y=-30.0230561429342,label= 13, type=benign
hazard = x=63.71344684295843,y=-34.41127631683984,label= 14, type=benign
hazard = x=101.19523706139711,y=-13.089774313348698,label= 15, type=benign
hazard = x=-88.73469297647245,y=18.46599144834196,label= 16, type=benign
hazard = x=-6.757024413002291,y=27.0791868932092,label= 17, type=benign
hazard = x=27.306396975185535,y=47.90596549905028,label= 18, type=benign
hazard = x=144.4785683575499,y=-270.6805330434313,label= 19, type=benign
hazard = x=136.03836618480022,y=-225.43350260277242,label= 20, type=benign
hazard = x=-99.82390215389621,y=-84.4908541422922,label= 21, type=benign
hazard = x=-6.698906865331246,y=-130.36712764540394,label= 22, type=benign
hazard = x=-5.3895423116480785,y=-34.043356598461756,label= 23, type=benign
hazard = x=87.8324157258168,y=-65.04173111520751,label= 24, type=benign
hazard = x=-111.32918999388538,y=22.301179628920714,label= 25, type=benign
hazard = x=20.117759124445612,y=37.79812674907961,label= 26, type=benign
hazard = x=44.081492426298965,y=-283.7108353179535,label= 27, type=benign
hazard = x=142.3949890725901,y=-293.7995556935424,label= 28, type=benign
hazard = x=186.06931810512737,y=-264.6851200508401,label= 29, type=benign
hazard = x=-20.64677485765008,y=-243.83491584858234,label= 30, type=benign
hazard = x=50.106035267762266,y=-222.8485792318873,label= 31, type=benign
hazard = x=137.0190033440779,y=-203.8433668423831,label= 32, type=benign
hazard = x=205.76337363583045,y=-221.9966453244899,label= 33, type=benign
hazard = x=-115.13981434069248,y=-93.52602219136918,label= 34, type=benign
hazard = x=-7.663930019063137,y=-134.72121124946545,label= 35, type=benign
hazard = x=45.80191048311997,y=-94.90902699445046,label= 36, type=benign
hazard = x=116.70624681861766,y=-132.2575076173506,label= 37, type=benign
hazard = x=-12.044005055468602,y=-12.443557202712412,label= 38, type=benign
hazard = x=50.77372183142431,y=-56.38435421254386,label= 39, type=benign
hazard = x=134.48065958460316,y=-40.81184685710208,label= 40, type=benign
hazard = x=-121.34177786527226,y=15.561940967627677,label= 41, type=benign
hazard = x=-23.05533186512936,y=14.22291827188712,label= 42, type=benign
hazard = x=97.48588080917841,y=30.26961264098273,label= 43, type=benign
hazard = x=74.29427814692359,y=-283.58565028196085,label= 44, type=benign
hazard = x=175.194030430471,y=-317.5414397975487,label= 45, type=benign
hazard = x=193.80285074754883,y=-310.8338066101423,label= 46, type=benign
hazard = x=-55.96430926221481,y=-222.3228164146974,label= 47, type=benign
hazard = x=31.35530459724748,y=-166.4683011279706,label= 48, type=benign
hazard = x=125.33040493986832,y=-234.05459242386806,label= 49, type=benign
hazard = x=229.6486726092108,y=-190.90698333631192,label= 50, type=benign
hazard = x=-68.53652878325033,y=-100.4258183505546,label= 51, type=benign
hazard = x=-46.82538287477834,y=-123.01642933356493,label= 52, type=benign
hazard = x=29.285924986335697,y=-158.11872046614704,label= 53, type=benign
hazard = x=161.52377375190798,y=-148.1914648672917,label= 54, type=benign
hazard = x=3.0953499455505664,y=-29.264660633902935,label= 55, type=benign
hazard = x=53.52343686784161,y=-52.39623673259105,label= 56, type=benign
hazard = x=157.41857583218422,y=-44.8272662825972,label= 57, type=benign
hazard = x=-93.1634151055072,y=40.498837789574225,label= 58, type=benign
hazard = x=-8.871369022197634,y=46.66408839632178,label= 59, type=benign
hazard = x=46.899977573008115,y=33.919559844412774,label= 60, type=benign
hazard = x=161.49690200822846,y=-243.0779557364812,label= 61, type=benign
hazard = x=-59.200645773733726,y=-77.6199579852761,label= 62, type=benign
hazard = x=-99.01208400234577,y=-288.06217111249913,label= 63, type=benign
hazard = x=-27.821863886047623,y=-260.07440523496115,label= 64, type=benign
hazard = x=51.823233097169656,y=-266.82922873169684,label= 65, type=benign
hazard = x=149.72691563968476,y=-316.2725786683431,label= 66, type=benign
hazard = x=209.05212282081868,y=-303.15789372664267,label= 67, type=benign
hazard = x=-81.39568357689306,y=-243.83863127663906,label= 68, type=benign
hazard = x=-58.40599263301726,y=-230.9653073640348,label= 69, type=benign
hazard = x=78.25832712708119,y=-210.9086398639348,label= 70, type=benign
hazard = x=129.57081561411152,y=-206.23026200772185,label= 71, type=benign
hazard = x=195.9995806652011,y=-168.74543340736045,label= 72, type=benign
hazard = x=-116.50660053815058,y=-85.99298387321655,label= 73, type=benign
hazard = x=-57.45513457072273,y=-122.00523098251858,label= 74, type=benign
hazard = x=30.752894501816442,y=-144.55665175235592,label= 75, type=benign
hazard = x=174.5659058433685,y=-100.34348477165373,label= 76, type=benign
hazard = x=209.42109723855432,y=-105.60119292370038,label= 77, type=benign
hazard = x=-116.09535795451615,y=-73.53708669416142,label= 78, type=benign
hazard = x=-9.223996201834822,y=-35.62632255120661,label= 79, type=benign
hazard = x=41.63699592941094,y=-16.873118900526805,label= 80, type=benign
hazard = x=147.31662979973964,y=-81.01178301544353,label= 81, type=benign
hazard = x=237.30699829974648,y=-55.409974698711835,label= 82, type=benign
hazard = x=-130.79592351084978,y=46.91640932920533,label= 83, type=benign
hazard = x=8.222932987995065,y=6.918398816820272,label= 84, type=benign
hazard = x=84.22793663858155,y=61.127936945757156,label= 85, type=benign
hazard = x=172.52849416138787,y=59.860129808913,label= 86, type=benign
hazard = x=197.6315144752469,y=53.86229762341931,label= 87, type=benign
hazard = x=150.27472989640677,y=-183.5359247598666,label= 88, type=benign
hazard = x=-13.333277897828339,y=-64.10306680393752,label= 89, type=benign
hazard = x=-120.5547225913123,y=-300.0779532068945,label= 90, type=benign
hazard = x=-40.64734857882004,y=-269.25522519920986,label= 91, type=benign
hazard = x=26.910357502803286,y=-261.9386930119282,label= 92, type=benign
hazard = x=102.52033263760643,y=-296.0321327759484,label= 93, type=benign
hazard = x=231.9953780176151,y=-297.39344458953747,label= 94, type=benign
hazard = x=-120.10812378613713,y=-224.5139515642475,label= 95, type=benign
hazard = x=-24.399183257306973,y=-217.5811749442234,label= 96, type=benign
hazard = x=37.853021108869484,y=-231.68033272629094,label= 97, type=benign
hazard = x=139.9541692558972,y=-168.18425130953204,label= 98, type=benign
hazard = x=253.99516836132653,y=-166.30610140686656,label= 99, type=benign
hazard = x=-78.88705174807252,y=-119.23557497537286,label= 100, type=benign
hazard = x=17.9912876367663,y=-149.2860380123166,label= 101, type=benign
hazard = x=61.262149729404484,y=-121.35346832892392,label= 102, type=benign
hazard = x=123.7104951362968,y=-143.01069923395923,label= 103, type=benign
hazard = x=197.85697015032474,y=-137.55632410691783,label= 104, type=benign
hazard = x=-62.03058633873721,y=-21.97614545810415,label= 105, type=benign
hazard = x=14.721624977754445,y=-33.52187136316347,label= 106, type=benign
hazard = x=75.23134442644303,y=-48.6804865345645,label= 107, type=benign
hazard = x=126.44865005768631,y=-7.662907920824409,label= 108, type=benign
hazard = x=209.32296320481487,y=-54.15445706225735,label= 109, type=benign
hazard = x=-83.03234642125906,y=66.09177567952204,label= 110, type=benign
hazard = x=-8.286155950672736,y=-0.765212693681466,label= 111, type=benign
hazard = x=72.58168329743779,y=21.74306193082115,label= 112, type=benign
hazard = x=163.00942479189243,y=44.79434030939361,label= 113, type=benign
hazard = x=236.93120541150472,y=61.31065775035563,label= 114, type=benign
hazard = x=142.9253648071251,y=-203.85251177315138,label= 115, type=benign
hazard = x=-25.261212239375368,y=-25.389570865591352,label= 116, type=benign
hazard = x=99.23121897911628,y=-246.12537074115406,label= 117, type=benign
hazard = x=166.11057291210636,y=-241.45924639511236,label= 118, type=benign
hazard = x=-95.26282736126534,y=-152.9615205858969,label= 119, type=benign
hazard = x=-24.589891602596524,y=-89.67331024738512,label= 120, type=benign
hazard = x=-43.99406206482183,y=-77.26179923529797,label= 121, type=benign
hazard = x=58.54025615623097,y=-56.91378293783967,label= 122, type=benign
hazard = x=-73.56072714444815,y=34.14896361434041,label= 123, type=benign
hazard = x=49.76804482273659,y=45.33217948200636,label= 124, type=benign
hazard = x=176.00995969540315,y=-168.7921821586561,label= 125, type=benign
hazard = x=0.5658751778502022,y=-147.08805548254713,label= 126, type=benign
hazard = x=-38.1512389711811,y=-32.104011063050294,label= 127, type=benign
hazard = x=124.94622850775042,y=-188.59407030786025,label= 128, type=benign
hazard = x=-40.77229615220764,y=-35.90145720625412,label= 129, type=benign
hazard = x=123.33947364194266,y=-211.23971140374,label= 130, type=benign
hazard = x=-0.2109040213537554,y=-72.99596706038568,label= 131, type=benign
hazard = x=105.83131978751864,y=-197.69087765379754,label= 132, type=benign
hazard = x=-10.956614330868291,y=-60.67504959653377,label= 133, type=benign
