hazard = x=-0.12139514212085345,y=-65.33025593136867,label= 0, type=benign
hazard = x=81.99889807752385,y=-271.95253796159017,label= 1, type=benign
hazard = x=175.13698658224942,y=-315.4306754500261,label= 2, type=benign
hazard = x=-2.8330840890349904,y=-177.58857671325734,label= 3, type=benign
hazard = x=78.11434192010123,y=-185.88990408536696,label= 4, type=benign
hazard = x=120.73527914393608,y=-236.2348303502892,label= 5, type=benign
hazard = x=218.37740411869504,y=-190.68010697853842,label= 6, type=benign
hazard = x=9.485045728311206,y=-160.4002626248835,label= 7, type=benign
hazard = x=-124.56088623946742,y=-16.050319585464365,label= 8, type=benign
hazard = x=-57.139445371852325,y=-28.471683869522934,label= 9, type=benign
hazard = x=58.369685305994615,y=-23.24658376163397,label= 10, type=benign
hazard = x=-110.3104501031629,y=44.33708052255558,label= 11, type=benign
hazard = x=-29.058933015356928,y=65.21090714325291,label= 12, type=benign
hazard = x=31.038698658121227,y=53.98506979471778,label= 13, type=benign
hazard = x=162.0578936161695,y=-199.28655315704157,label= 14, type=benign
hazard = x=-22.02167792259504,y=-81.80476293860289,label= 15, type=benign
hazard = x=71.26530702352755,y=-301.534008551658,label= 16, type=benign
hazard = x=153.24297558699772,y=-292.9208131067908,label= 17, type=benign
hazard = x=27.306396975185535,y=-192.0940345009497,label= 18, type=benign
hazard = x=119.88755974641302,y=-198.5214316424501,label= 19, type=benign
hazard = x=-42.293965591928874,y=-126.96163381519979,label= 20, type=benign
hazard = x=-68.51528437309308,y=-42.82390215389621,label= 21, type=benign
hazard = x=-38.75287369211655,y=-29.698906865331246,label= 22, type=benign
hazard = x=78.08816358598665,y=-28.38954231164808,label= 23, type=benign
hazard = x=-55.91183381196695,y=64.8324157258168,label= 24, type=benign
hazard = x=45.301179628920714,y=-255.31249807689127,label= 25, type=benign
hazard = x=140.79812674907961,y=-308.731433031966,label= 26, type=benign
hazard = x=44.081492426298965,y=-203.71083531795352,label= 27, type=benign
hazard = x=142.3949890725901,y=-213.7995556935424,label= 28, type=benign
hazard = x=-53.93068189487262,y=-104.6851200508401,label= 29, type=benign
hazard = x=-100.64677485765009,y=-83.83491584858233,label= 30, type=benign
hazard = x=-29.893964732237734,y=-62.848579231887314,label= 31, type=benign
hazard = x=57.0190033440779,y=-43.84336684238309,label= 32, type=benign
hazard = x=-34.236626364169545,y=18.00335467551011,label= 33, type=benign
hazard = x=89.47397780863082,y=-317.1470051938989,label= 34, type=benign
hazard = x=128.27878875053455,y=-250.52137403246118,label= 35, type=benign
hazard = x=88.09097300554954,y=-221.2498400960232,label= 36, type=benign
hazard = x=130.7424923826494,y=-172.60303318017552,label= 37, type=benign
hazard = x=10.556442797287588,y=-143.14904192202545,label= 38, type=benign
hazard = x=-113.38435421254385,y=-21.593059884188342,label= 39, type=benign
hazard = x=-17.811846857102083,y=-57.44824907730011,label= 40, type=benign
hazard = x=38.56194096762768,y=-26.52503310160941,label= 41, type=benign
hazard = x=-42.777081728112876,y=54.90205904881122,label= 42, type=benign
hazard = x=167.95594449448862,y=-309.4823759709743,label= 43, type=benign
hazard = x=59.41434971803913,y=-242.26479598889827,label= 44, type=benign
hazard = x=105.4585602024513,y=-205.4647710720009,label= 45, type=benign
hazard = x=-127.8338066101423,y=-30.13298814021877,label= 46, type=benign
hazard = x=-39.322816414697414,y=-53.08134700253332,label= 47, type=benign
hazard = x=16.53169887202941,y=55.23460076389476,label= 48, type=benign
hazard = x=42.21516278266842,y=-273.3513273907892,label= 49, type=benign
hazard = x=178.96432588881083,y=-251.53652878325033,label= 50, type=benign
hazard = x=218.97200359357146,y=-309.8253828747783,label= 51, type=benign
hazard = x=-18.36563699216638,y=-233.7140750136643,label= 52, type=benign
hazard = x=82.13588154803398,y=-181.47622624809202,label= 53, type=benign
hazard = x=132.41041601210745,y=-179.90465005444943,label= 54, type=benign
hazard = x=239.32466837650003,y=-209.4765631321584,label= 55, type=benign
hazard = x=-118.60852892748271,y=-105.5814241678158,label= 56, type=benign
hazard = x=1.088101420292439,y=-116.1634151055072,label= 57, type=benign
hazard = x=40.07830877876716,y=-111.87136902219763,label= 58, type=benign
hazard = x=144.69212200244428,y=-136.10002242699187,label= 59, type=benign
hazard = x=-80.74692557820492,y=-42.51446873529226,label= 60, type=benign
hazard = x=-60.077955736481194,y=-35.12407926594916,label= 61, type=benign
hazard = x=25.380042014723905,y=-64.16475185377968,label= 62, type=benign
hazard = x=140.98791599765423,y=-48.06217111249913,label= 63, type=benign
hazard = x=-107.82186388604762,y=59.925594765038866,label= 64, type=benign
hazard = x=-28.176766902830344,y=53.170771268303184,label= 65, type=benign
hazard = x=69.72691563968478,y=3.727421331656892,label= 66, type=benign
hazard = x=39.84210627335736,y=-314.33314531924833,label= 67, type=benign
